StateID,Query,Prct
1,chocolate cookies,100
1,butter cookies,73
1,peanut butter cookies,59
1,chocolate chip cookies,59
1,sugar cookies,55
1,word cookies,54
1,oatmeal cookies,53
1,girl scout cookies,44
1,no bake cookies,26
1,insomnia cookies,23
1,christmas cookies,20
1,chocolate oatmeal cookies,20
1,homemade cookies,15
1,cookies and cream,14
1,word cookies answers,13
1,cake mix cookies,12
1,chocolate no bake cookies,10
2,chocolate chip cookies,72
2,peanut butter cookies,52
2,sugar cookies,51
2,oatmeal cookies,48
2,no bake cookies,33
2,girl scout cookies,18
2,christmas cookies,18
2,pumpkin cookies,16
2,molasses cookies,8
2,shortbread cookies,8
2,oatmeal raisin cookies,7
2,gingerbread cookies,7
4,chocolate cookies,100
4,chocolate chocolate chip cookies,72
4,chocolate chip cookies,70
4,sugar cookies,64
4,butter cookies,64
4,peanut butter cookies,49
4,oatmeal cookies,44
4,girl scout cookies,44
4,cake cookies,24
4,christmas cookies,22
4,how to make cookies,22
4,no bake cookies,21
4,easy cookies,17
4,clear cookies,15
4,pumpkin cookies,14
4,word cookies,14
4,enable cookies,13
5,butter cookies,67
5,chocolate chip cookies,67
5,no bake cookies,56
5,peanut butter cookies,54
5,sugar cookies,52
5,oatmeal cookies,49
5,word cookies,42
5,girl scout cookies,30
5,christmas cookies,19
5,homemade cookies,16
5,cake mix cookies,16
5,no bake oatmeal cookies,13
5,no bake peanut butter cookies,11
5,chocolate no bake cookies,11
5,lemon cookies,10
5,word cookies answers,8
6,chocolate cookies,100
6,chocolate chip cookies,73
6,chocolate chocolate chip cookies,72
6,butter cookies,51
6,sugar cookies,49
6,girl scout cookies,42
6,oatmeal cookies,42
6,peanut butter cookies,35
6,best cookies,20
6,how to make cookies,20
6,cake cookies,19
6,christmas cookies,16
6,easy cookies,13
6,clear cookies,12
6,enable cookies,12
6,vegan cookies,11
6,chocolate oatmeal cookies,11
6,cookies strain,11
6,word cookies,10
8,chocolate cookies,100
8,chocolate chocolate chip cookies,77
8,chocolate chip cookies,76
8,butter cookies,56
8,sugar cookies,52
8,peanut butter cookies,43
8,oatmeal cookies,42
8,girl scout cookies,36
8,no bake cookies,24
8,christmas cookies,20
8,best cookies,18
8,cake cookies,18
8,how to make cookies,15
8,pumpkin cookies,13
8,easy cookies,13
8,gluten free cookies,12
8,enable cookies,10
8,clear cookies,10
8,chocolate chip oatmeal cookies,10
8,high altitude cookies,10
9,chocolate cookies,100
9,chocolate chip cookies,73
9,chocolate chocolate chip cookies,70
9,butter cookies,50
9,sugar cookies,43
9,oatmeal cookies,37
9,peanut butter cookies,33
9,insomnia cookies,29
9,girl scout cookies,29
9,christmas cookies,27
9,word cookies,16
9,how to make cookies,16
9,italian cookies,13
9,almond cookies,10
9,gluten free cookies,9
9,pumpkin cookies,9
10,butter cookies,100
10,chocolate chip cookies,97
10,sugar cookies,90
10,insomnia cookies,88
10,girl scout cookies,78
10,peanut butter cookies,68
10,oatmeal cookies,61
10,word cookies,47
10,christmas cookies,39
10,italian cookies,23
10,pumpkin cookies,20
10,no bake cookies,19
10,shortbread cookies,14
10,gingerbread cookies,14
10,oatmeal raisin cookies,12
10,insomnia cookies newark de,11
11,chocolate cookies,100
11,chocolate chip cookies,68
11,butter cookies,52
11,girl scout cookies,46
11,sugar cookies,44
11,oatmeal cookies,40
11,peanut butter cookies,35
11,christmas cookies,21
11,insomnia cookies,21
11,word cookies,13
11,pumpkin cookies,12
11,no bake cookies,12
11,cookies and cream,9
11,vegan cookies,9
11,homemade cookies,8
11,oatmeal raisin cookies,8
11,gingerbread cookies,7
11,lemon cookies,7
11,shortbread cookies,7
12,chocolate cookies,98
12,chocolate chocolate chip cookies,68
12,chocolate chip cookies,67
12,butter cookies,56
12,sugar cookies,54
12,peanut butter cookies,42
12,oatmeal cookies,41
12,girl scout cookies,38
12,cake cookies,24
12,christmas cookies,23
12,how to make cookies,22
12,word cookies,21
12,no bake cookies,15
12,enable cookies,14
12,cookies and cream,13
12,clear cookies,12
12,insomnia cookies,11
12,homemade cookies,11
13,chocolate cookies,100
13,chocolate chip cookies,69
13,chocolate chocolate chip cookies,66
13,butter cookies,64
13,sugar cookies,56
13,girl scout cookies,51
13,peanut butter cookies,50
13,oatmeal cookies,45
13,word cookies,32
13,cake cookies,26
13,how to make cookies,23
13,no bake cookies,23
13,easy cookies,21
13,christmas cookies,20
13,insomnia cookies,20
13,homemade cookies,13
13,enable cookies,13
13,clear cookies,12
13,cookies and cream,12
15,chocolate chip cookies,100
15,sugar cookies,57
15,oatmeal cookies,57
15,peanut butter cookies,39
15,girl scout cookies,34
15,honolulu cookies,29
15,shortbread cookies,26
15,word cookies,25
15,christmas cookies,20
15,big island cookies,17
15,cookies clothing,17
15,gingerbread cookies,15
15,no bake cookies,13
15,almond cookies,13
15,pumpkin cookies,11
15,oatmeal raisin cookies,7
16,chip cookies,99
16,chocolate chip cookies,86
16,butter cookies,60
16,sugar cookies,58
16,no bake cookies,55
16,peanut butter cookies,48
16,oatmeal cookies,45
16,girl scout cookies,21
16,pumpkin cookies,20
16,christmas cookies,14
16,word cookies,12
16,cake mix cookies,12
16,gingerbread cookies,8
16,peanut butter no bake cookies,7
16,shortbread cookies,6
16,toll house cookies,6
16,best chocolate chip cookies,6
16,snickerdoodle cookies,4
17,chocolate cookies,100
17,chocolate chocolate chip cookies,70
17,butter cookies,69
17,chocolate chip cookies,68
17,sugar cookies,53
17,peanut butter cookies,47
17,girl scout cookies,42
17,oatmeal cookies,41
17,insomnia cookies,25
17,christmas cookies,25
17,cake cookies,22
17,word cookies,21
17,how to make cookies,20
17,no bake cookies,20
17,easy cookies,16
17,cookies by design,14
17,enable cookies,11
17,clear cookies,11
17,chocolate oatmeal cookies,10
18,chocolate cookies,100
18,butter cookies,75
18,chocolate chocolate chip cookies,68
18,chocolate chip cookies,67
18,sugar cookies,57
18,peanut butter cookies,57
18,no bake cookies,52
18,oatmeal cookies,43
18,girl scout cookies,42
18,word cookies,32
18,insomnia cookies,30
18,cake cookies,26
18,christmas cookies,25
18,easy cookies,19
18,how to make cookies,18
18,pumpkin cookies,12
18,cake mix cookies,11
18,homemade cookies,11
19,chocolate cookies,99
19,chocolate chip cookies,69
19,butter cookies,65
19,sugar cookies,56
19,peanut butter cookies,52
19,oatmeal cookies,40
19,girl scout cookies,38
19,no bake cookies,30
19,word cookies,24
19,christmas cookies,23
19,cake cookies,22
19,monster cookies,17
19,how to make cookies,16
19,insomnia cookies,15
19,cake mix cookies,11
19,oatmeal chocolate chip cookies,11
19,cookies by design,10
19,enable cookies,9
20,butter cookies,95
20,chocolate chip cookies,91
20,sugar cookies,83
20,peanut butter cookies,80
20,no bake cookies,70
20,oatmeal cookies,56
20,girl scout cookies,54
20,christmas cookies,26
20,word cookies,25
20,cake mix cookies,21
20,pumpkin cookies,16
20,monster cookies,13
20,insomnia cookies,13
