State,Query,Class
Alabama,chocolate cookies,3
Alaska,chocolate chip cookies,4
Arizona,chocolate cookies,3
Arkansas,butter cookies,0
California,chocolate cookies,3
Colorado,chocolate cookies,3
Connecticut,chocolate cookies,3
Delaware,butter cookies,0
District of Columbia,chocolate cookies,3
Florida,chocolate cookies,3
Georgia,chocolate cookies,3
Hawaii,chocolate chip cookies,4
Idaho,chip cookies,1
Illinois,chocolate cookies,3
Indiana,chocolate cookies,3
Iowa,chocolate cookies,3
Kansas,butter cookies,0
Kentucky,chocolate cookies,3
Louisiana,chocolate chip cookies,4
Maine,chocolate chip cookies,4
Maryland,chocolate cookies,3
Massachusetts,chocolate cookies,3
Michigan,chocolate cookies,3
Minnesota,chocolate cookies,3
Mississippi,butter cookies,0
Missouri,chocolate cookies,3
Montana,chocolate chip cookies,4
Nebraska,chocolate chip cookies,4
Nevada,chocolate chip cookies,4
New Hampshire,chocolate chip cookies,4
New Jersey,chocolate cookies,3
New Mexico,chocolate chip cookies,4
New York,chocolate cookies,3
North Carolina,chocolate cookies,3
North Dakota,chocolate chip cookies,4
Ohio,chocolate cookies,3
Oklahoma,chocolate chip cookies,4
Oregon,chocolate cookies,3
Pennsylvania,chocolate cookies,3
Rhode Island,chocolate chip cookies,4
South Carolina,chocolate cookies,3
South Dakota,sugar cookies,2
Tennessee,chocolate cookies,3
Texas,chocolate cookies,3
Utah,chocolate cookies,3
Vermont,chocolate chip cookies,4
Virginia,chocolate cookies,3
Washington,chocolate cookies,3
West Virginia,butter cookies,0
Wisconsin,chocolate cookies,3
Wyoming,chocolate chip cookies,4
